Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 50.95, -2.61,-4.87, 10119896, -1.7,
ADBE, Adobe Inc., 238.9, -1.05,-0.44, 2560218, -.5,
ALXN, Alexion Pharmaceuticals Inc., 118.61, -1.07,-0.89, 1175876, -.2,
ALGN, Align Technology Inc., 225.47, 2.7,1.21, 962378, .2,
GOOG, Alphabet Inc., 1061.66, -3.05,-0.29, 1520214, -.9,
GOOGL, Alphabet Inc., 1068.4, -2.65,-0.25, 1557931, -.7,
AMZN, Amazon.com Inc., 1593.41, -26.03,-1.61, 5852285, -11.1,
AAL, American Airlines Group Inc., 36.74, -1.08,-2.86, 9881748, -.4,
AMGN, Amgen Inc., 194.18, 1.73,0.9, 3248987, 1.0,
ADI, Analog Devices Inc., 89.48, -0.34,-0.38, 3167913, -.1,
AAPL, Apple Inc., 193.53, 2.12,1.11, 34139567, 8.9,
AMAT, Applied Materials Inc., 35.4, 0.38,1.09, 28075252, .3,
ASML, ASML Holding N.V., 168.99, -7.8,-4.41, 3096814, -.5,
ADSK, Autodesk Inc., 134.04, -0.25,-0.19, 1742812, -.1,
ADP, Automatic Data Processing Inc., 146.54, -0.71,-0.48, 4527119, -.3,
BIDU, Baidu Inc., 187.02, -1.39,-0.74, 1476192, -.3,
BIIB, Biogen Inc., 324.17, 2.45,0.76, 1271605, .4,
BMRN, BioMarin Pharmaceutical Inc., 95.7, 0.95,1, 640844, .2,
BKNG, Booking Holdings Inc., 1854.15, -34.72,-1.84, 291034, -1.4,
AVGO, Broadcom Inc., 237.61, 1.27,0.54, 3600547, .5,
CDNS, Cadence Design Systems Inc., 45.76, 0.22,0.48, 1646099, .1,
CELG, Celgene Corporation, 69.65, -0.33,-0.47, 7931068, -.2,
CERN, Cerner Corporation, 57.89, 0.62,1.08, 1134259, .2,
CHTR, Charter Communications Inc., 328.76, 10.28,3.23, 948956, 2.1,
CHKP, Check Point Software Technologies Ltd., 114.35, 0.81,0.71, 615606, .1,
